Handle,Size,Colour (lookup),Variant Inventory Qty,Variant SKU,Colour (import display),Title (import)
the-cowl-maxi-blue-floral,10,,14,COWL-MAXI-GEN-FLO-10,Blue Floral,The cowl maxi
the-cowl-maxi-blue-floral,12,,3,COWL-MAXI-GEN-FLO-12,Blue Floral,The cowl maxi
the-cowl-maxi-blue-floral,14,,3,COWL-MAXI-GEN-FLO-14,Blue Floral,The cowl maxi
the-cowl-maxi-yellow-floral,14,,1,COWL-MAXI-GEN-FLO-14-1,Yellow Floral,The cowl maxi
the-crochet-foldover-shorts-black-white,6,,14,CROCHET-FOLDOVER-SRT-WHT-6,Black White,The crochet foldover shorts
the-crochet-foldover-shorts-black-white,8,,10,CROCHET-FOLDOVER-SRT-WHT-8,Black White,The crochet foldover shorts
the-crochet-foldover-shorts-black-white,14,,4,CROCHET-FOLDOVER-SRT-WHT-14,Black White,The crochet foldover shorts
the-crochet-foldover-shorts-black-white,16,,4,CROCHET-FOLDOVER-SRT-WHT-16,Black White,The crochet foldover shorts
the-crochet-tan-bikini-bottoms-cherry-blush,4,,19,CROCHET-TAN-BIK-BLU-4,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-cherry-blush,6,,30,CROCHET-TAN-BIK-BLU-6,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-cherry-blush,8,,25,CROCHET-TAN-BIK-BLU-8,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-cherry-blush,10,,18,CROCHET-TAN-BIK-BLU-10,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-cherry-blush,12,,10,CROCHET-TAN-BIK-BLU-12,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-cherry-blush,14,,10,CROCHET-TAN-BIK-BLU-14,Cherry Blush,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-strawberry-sorbet,12,,1,CROCHET-TAN-BIK-SOR-12-1,Strawberry Sorbet,The crochet tan bikini bottoms
the-crochet-tan-bikini-bottoms-strawberry-sorbet,14,,4,CROCHET-TAN-BIK-SOR-14-1,Strawberry Sorbet,The crochet tan bikini bottoms
