"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Qty","Variant Grams","Image Src"
"the-amara-lace-lace-top-corset","The amara lace lace top & corset","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p> <ul> <li>Premium lace fabric</li> <li>High neck silhouette</li> <li>Discreet zip closure at the back for seamless finish</li> <li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li> <li>Removable sculpting corset</li> <li>Corset designed to layer over the lace top<br> </li> <li>Styled with our matching Amara lace trousers</li> </ul> <p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","Size","XS (4-6)","Color","black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-top-corset","","","","","","TRUE","Size","S (6-8)","Color","black","THEAMARALACELACETOPCORSET-BLACK-S68","35.00","15","0",""
"the-amara-lace-lace-top-corset","","","","","","TRUE","Size","M (8-10)","Color","black","THEAMARALACELACETOPCORSET-BLACK-M810","35.00","1","0",""
"the-amara-lace-lace-top-corset","","","","","","TRUE","Size","L (10-12)","Color","black","THEAMARALACELACETOPCORSET-BLACK-L1012","35.00","1","0",""
"the-amara-lace-lace-top-corset","","","","","","TRUE","Size","XL (12-14)","Color","black","THEAMARALACELACETOPCORSET-BLACK-XL1214","35.00","3","0",""
"the-amara-lace-lace-trouser","The amara lace trouser","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p> <ul> <li>Premium lace fabric</li> <li>Fold over waist detail for adjustable coverage and styling</li> <li>Discreet zip closure at the back for seamless finish</li> <li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li> <li>Statement side tassel<br> </li> <li>Styled with our matching Amara lace top &amp; corset</li> </ul> <p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","Size","XS (4-6)","Color","black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
"the-amara-lace-lace-trouser","","","","","","TRUE","Size","S (6-8)","Color","black","THEAMARALACELACETROUSER-BLACK-S68","30.00","15","0",""
"the-amara-lace-lace-trouser","","","","","","TRUE","Size","M (8-10)","Color","black","THEAMARALACELACETROUSER-BLACK-M810","30.00","1","0",""
"the-amara-lace-lace-trouser","","","","","","TRUE","Size","L (10-12)","Color","black","THEAMARALACELACETROUSER-BLACK-L1012","30.00","0","0",""
"the-amara-lace-lace-trouser","","","","","","TRUE","Size","XL (12-14)","Color","black","THEAMARALACELACETROUSER-BLACK-XL1214","30.00","4","0",""
