"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Status","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Barcode","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Taxable","Variant Weight","Variant Weight Unit","Image Src"
"the-amara-lace-lace-top-corset-black","The amara lace lace top & corset - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>High neck silhouette</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Removable sculpting corset</li>
<li>Corset designed to layer over the lace top<br>
</li>
<li>Styled with our matching Amara lace trousers</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","active","Size","XS (4-6)","","","","","","","35.00","","shopify","16","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-top-corset-black","The amara lace lace top & corset - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>High neck silhouette</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Removable sculpting corset</li>
<li>Corset designed to layer over the lace top<br>
</li>
<li>Styled with our matching Amara lace trousers</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","active","Size","S (6-8)","","","","","","","35.00","","shopify","15","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-top-corset-black","The amara lace lace top & corset - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>High neck silhouette</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Removable sculpting corset</li>
<li>Corset designed to layer over the lace top<br>
</li>
<li>Styled with our matching Amara lace trousers</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","active","Size","M (8-10)","","","","","","","35.00","","shopify","1","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-top-corset-black","The amara lace lace top & corset - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>High neck silhouette</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Removable sculpting corset</li>
<li>Corset designed to layer over the lace top<br>
</li>
<li>Styled with our matching Amara lace trousers</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","active","Size","L (10-12)","","","","","","","35.00","","shopify","1","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-top-corset-black","The amara lace lace top & corset - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>High neck silhouette</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Removable sculpting corset</li>
<li>Corset designed to layer over the lace top<br>
</li>
<li>Styled with our matching Amara lace trousers</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Dresses, solstice","TRUE","active","Size","XL (12-14)","","","","","","","35.00","","shopify","3","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","active","Size","XS (4-6)","","","","","","","30.00","","shopify","17","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","active","Size","S (6-8)","","","","","","","30.00","","shopify","15","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","active","Size","M (8-10)","","","","","","","30.00","","shopify","1","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","active","Size","L (10-12)","","","","","","","30.00","","shopify","0","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p>
<ul>
<li>Premium lace fabric</li>
<li>Fold over waist detail for adjustable coverage and styling</li>
<li>Discreet zip closure at the back for seamless finish</li>
<li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li>
<li>Statement side tassel<br>
</li>
<li>Styled with our matching Amara lace top &amp; corset</li>
</ul>
<p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Dresses, solstice","TRUE","active","Size","XL (12-14)","","","","","","","30.00","","shopify","4","true","0.1","kg","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795"
