"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Metafield: product.color [list.single_line_text_field]","Metafield: product.size [list.single_line_text_field]","Metafield: product.fabric [single_line_text_field]","Metafield: product.age_group [single_line_text_field]","Metafield: product.target_gender [single_line_text_field]","Metafield: product.clothing_features [multi_line_text_field]"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","35.00","[Black]","[XS (4-6)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","35.00","[Black]","[S (6-8)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","35.00","[Black]","[M (8-10)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","35.00","[Black]","[L (10-12)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","35.00","[Black]","[XL (12-14)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","XS (4-6)","Color","Black","AMARA-TRS-BLK-XS","30.00","[Black]","[XS (4-6)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","S (6-8)","Color","Black","AMARA-TRS-BLK-S","30.00","[Black]","[S (6-8)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","M (8-10)","Color","Black","AMARA-TRS-BLK-M","30.00","[Black]","[M (8-10)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L","30.00","[Black]","[L (10-12)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","XL (12-14)","Color","Black","AMARA-TRS-BLK-XL","30.00","[Black]","[XL (12-14)]","Lace","Adult","Female",""
