"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Metafield: product.color [list.single_line_text_field]","Metafield: product.size [list.single_line_text_field]","Metafield: product.fabric [single_line_text_field]","Metafield: product.age_group [single_line_text_field]","Metafield: product.target_gender [single_line_text_field]","Metafield: product.clothing_features [multi_line_text_field]"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","XS (4-6)","Color","Black","AMARA-BLACK-CRST-BLK-XS","[Black]","[XS (4-6)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","S (6-8)","Color","Black","AMARA-BLACK-CRST-BLK-S","[Black]","[S (6-8)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","M (8-10)","Color","Black","AMARA-BLACK-CRST-BLK-M","[Black]","[M (8-10)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","L (10-12)","Color","Black","AMARA-BLACK-CRST-BLK-L","[Black]","[L (10-12)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","Size","XL (12-14)","Color","Black","AMARA-BLACK-CRST-BLK-XL","[Black]","[XL (12-14)]","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female","Corset"
"the-amara-lace-lace-top-corset-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female","Corset"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","XS (4-6)","Color","Black","AMARA-TRS-BLK-XS","[Black]","[XS (4-6)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","S (6-8)","Color","Black","AMARA-TRS-BLK-S","[Black]","[S (6-8)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","M (8-10)","Color","Black","AMARA-TRS-BLK-M","[Black]","[M (8-10)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L","[Black]","[L (10-12)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","Size","XL (12-14)","Color","Black","AMARA-TRS-BLK-XL","[Black]","[XL (12-14)]","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female",""
"the-amara-lace-lace-trouser-black","","Size","","Color","black","","[Black]","","Lace","Adult","Female",""
"the-amore-set-taupe","The amore corset set - taupe","Size","XS (4-6)","Color","Taupe","AMORE-CRST-TAU-XS","[White]","[XS (4-6)]","","Adult","Female","Corset"
"the-amore-set-taupe","The amore corset set - taupe","Size","S (6-8)","Color","Taupe","AMORE-CRST-TAU-S","[White]","[S (6-8)]","","Adult","Female","Corset"
"the-amore-set-taupe","The amore corset set - taupe","Size","M (8-10)","Color","Taupe","AMORE-CRST-TAU-M","[White]","[M (8-10)]","","Adult","Female","Corset"
"the-amore-set-taupe","The amore corset set - taupe","Size","L (10-12)","Color","Taupe","AMORE-CRST-TAU-L","[White]","[L (10-12)]","","Adult","Female","Corset"
"the-amore-set-taupe","The amore corset set - taupe","Size","XL (12-14)","Color","Taupe","AMORE-CRST-TAU-XL","[White]","[XL (12-14)]","","Adult","Female","Corset"
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-amore-set-taupe","","Size","","Color","taupe","","[White]","","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","4","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-4","[Green]","[4]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","6","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-6","[Green]","[6]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","8","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-8","[Green]","[8]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","10","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-10","[Green]","[10]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","12","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-12","[Green]","[12]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","Size","14","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-14","[Green]","[14]","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"the-beaded-bikini-bottoms-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","4","Color","Khaki","BEADED-BIK-KHA-4","[Green]","[4]","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","6","Color","Khaki","BEADED-BIK-KHA-6","[Green]","[6]","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","8","Color","Khaki","BEADED-BIK-KHA-8","[Green]","[8]","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","10","Color","Khaki","BEADED-BIK-KHA-10","[Green]","[10]","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","12","Color","Khaki","BEADED-BIK-KHA-12","[Green]","[12]","","Adult","Female",""
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","Size","14","Color","Khaki","BEADED-BIK-KHA-14","[Green]","[14]","","Adult","Female",""
"the-beaded-bikini-top-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"the-beaded-bikini-top-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"the-beaded-bikini-top-khaki","","Size","","Color","khaki","","[Green]","","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","4","Color","Cream","BURNOUT-COWL-TOP-CRE-4","[White]","[4]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","6","Color","Cream","BURNOUT-COWL-TOP-CRE-6","[White]","[6]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","8","Color","Cream","BURNOUT-COWL-TOP-CRE-8","[White]","[8]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","10","Color","Cream","BURNOUT-COWL-TOP-CRE-10","[White]","[10]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","12","Color","Cream","BURNOUT-COWL-TOP-CRE-12","[White]","[12]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","The burnout cowl top - cream","Size","14","Color","Cream","BURNOUT-COWL-TOP-CRE-14","[White]","[14]","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","","Size","","Color","cream","","[White]","","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","","Size","","Color","cream","","[White]","","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","","Size","","Color","cream","","[White]","","","Adult","Female",""
"copy-the-burnout-cowl-top-cream","","Size","","Color","cream","","[White]","","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","4","Color","Blue","BURNOUT-COWL-TOP-BLU-4","[Blue]","[4]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","6","Color","Blue","BURNOUT-COWL-TOP-BLU-6","[Blue]","[6]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","8","Color","Blue","BURNOUT-COWL-TOP-BLU-8","[Blue]","[8]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","10","Color","Blue","BURNOUT-COWL-TOP-BLU-10","[Blue]","[10]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12","[Blue]","[12]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","Size","14","Color","Blue","BURNOUT-COWL-TOP-BLU-14","[Blue]","[14]","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","","Size","","Color","blue","","[Blue]","","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","","Size","","Color","blue","","[Blue]","","","Adult","Female",""
"the-burnout-cowl-top-powder-blue","","Size","","Color","blue","","[Blue]","","","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","4","Color","Knit","COVE-KNIT-GEN-KNI-4","","[4]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","6","Color","Knit","COVE-KNIT-GEN-KNI-6","","[6]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","8","Color","Knit","COVE-KNIT-GEN-KNI-8","","[8]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","10","Color","Knit","COVE-KNIT-GEN-KNI-10","","[10]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","12","Color","Knit","COVE-KNIT-GEN-KNI-12","","[12]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","The cove knit mini - cloud","Size","14","Color","Knit","COVE-KNIT-GEN-KNI-14","","[14]","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cove-mini-grey-knit","","Size","","Color","knit","","","","Knit","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","4","Color","Floral","COWL-MAXI-GEN-FLO-4","","[4]","","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","6","Color","Floral","COWL-MAXI-GEN-FLO-6","","[6]","","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","8","Color","Floral","COWL-MAXI-GEN-FLO-8","","[8]","","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10","","[10]","","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12","","[12]","","Adult","Female",""
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14","","[14]","","Adult","Female",""
"the-cowl-maxi-blue-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-cowl-maxi-blue-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-cowl-maxi-blue-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","4","Color","Floral","COWL-MAXI-GEN-FLO-4-1","","[4]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","6","Color","Floral","COWL-MAXI-GEN-FLO-6-1","","[6]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","8","Color","Floral","COWL-MAXI-GEN-FLO-8-1","","[8]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10-1","","[10]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12-1","","[12]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14-1","","[14]","","Adult","Female",""
"the-cowl-maxi-yellow-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-cowl-maxi-yellow-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-cowl-maxi-yellow-floral","","Size","","Color","floral","","","","","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","4","Color","White","CROCHET-FOLDOVER-SRT-WHT-4","[White]","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","6","Color","White","CROCHET-FOLDOVER-SRT-WHT-6","[White]","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","8","Color","White","CROCHET-FOLDOVER-SRT-WHT-8","[White]","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","10","Color","White","CROCHET-FOLDOVER-SRT-WHT-10","[White]","[10]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","12","Color","White","CROCHET-FOLDOVER-SRT-WHT-12","[White]","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","14","Color","White","CROCHET-FOLDOVER-SRT-WHT-14","[White]","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","16","Color","White","CROCHET-FOLDOVER-SRT-WHT-16","[White]","[16]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","4","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-4","[White]","[4]","Crochet","Adult","Female",""
