"Handle","Title","Status","Variant ID","Variant Title","Variant SKU","Variant Price","Variant Inventory Qty","Option1 Name","Option1 Value","Option2 Name","Option2 Value"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","active",56093970366850,"XS (4-6) / Black","AMARA-BLACK-CRST-BLK-XS","35.00",16,"Size","XS (4-6)","Color","Black"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","active",56093970399618,"S (6-8) / Black","AMARA-BLACK-CRST-BLK-S","35.00",15,"Size","S (6-8)","Color","Black"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","active",56093970432386,"M (8-10) / Black","AMARA-BLACK-CRST-BLK-M","35.00",1,"Size","M (8-10)","Color","Black"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","active",56093970465154,"L (10-12) / Black","AMARA-BLACK-CRST-BLK-L","35.00",1,"Size","L (10-12)","Color","Black"
"the-amara-lace-lace-top-corset-black","The amara lace top & corset - black","active",56093970497922,"XL (12-14) / Black","AMARA-BLACK-CRST-BLK-XL","35.00",3,"Size","XL (12-14)","Color","Black"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","active",56094010999170,"XS (4-6) / Black","AMARA-TRS-BLK-XS","30.00",17,"Size","XS (4-6)","Color","Black"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","active",56094011031938,"S (6-8) / Black","AMARA-TRS-BLK-S","30.00",15,"Size","S (6-8)","Color","Black"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","active",56094011064706,"M (8-10) / Black","AMARA-TRS-BLK-M","30.00",1,"Size","M (8-10)","Color","Black"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","active",56094011097474,"L (10-12) / Black","AMARA-TRS-BLK-L","30.00",0,"Size","L (10-12)","Color","Black"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","active",56094011130242,"XL (12-14) / Black","AMARA-TRS-BLK-XL","30.00",4,"Size","XL (12-14)","Color","Black"
