"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","4","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-4","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","6","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-6","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","8","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-8","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","10","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-10","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","12","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-12","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","14","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-14","28.00"
"the-floaty-sleeve-crop-top-rose-leopard","The floaty sleeve crop top - rose leopard","Size","16","Color","Leopard","FLOATY-SLEEVE-TOP-LEO-16","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","4","Color","White","FLOATY-SLEEVE-TOP-WHT-4","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","6","Color","White","FLOATY-SLEEVE-TOP-WHT-6","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","8","Color","White","FLOATY-SLEEVE-TOP-WHT-8","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","10","Color","White","FLOATY-SLEEVE-TOP-WHT-10","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","12","Color","White","FLOATY-SLEEVE-TOP-WHT-12","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","14","Color","White","FLOATY-SLEEVE-TOP-WHT-14","28.00"
"the-floaty-sleeve-crop-top-white","The floaty sleeve crop top - white","Size","16","Color","White","FLOATY-SLEEVE-TOP-WHT-16","28.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","4","Color","Blue","FOLD-OVER-SKT-BLU-4","32.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","6","Color","Blue","FOLD-OVER-SKT-BLU-6","32.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","8","Color","Blue","FOLD-OVER-SKT-BLU-8","32.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","10","Color","Blue","FOLD-OVER-SKT-BLU-10","32.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","12","Color","Blue","FOLD-OVER-SKT-BLU-12","32.00"
"the-burnout-maxi-skirt-powder-blue","The fold over burnout maxi skirt - powder blue","Size","14","Color","Blue","FOLD-OVER-SKT-BLU-14","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","4","Color","Cream","FOLD-OVER-SKT-CRE-4","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","6","Color","Cream","FOLD-OVER-SKT-CRE-6","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","8","Color","Cream","FOLD-OVER-SKT-CRE-8","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","10","Color","Cream","FOLD-OVER-SKT-CRE-10","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","12","Color","Cream","FOLD-OVER-SKT-CRE-12","32.00"
"the-burnout-maxi-skirt-cream","The fold over burnout maxi skirt - cream","Size","14","Color","Cream","FOLD-OVER-SKT-CRE-14","32.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","4","Color","White","FOLD-OVER-TRS-WHT-4","30.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","6","Color","White","FOLD-OVER-TRS-WHT-6","30.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","8","Color","White","FOLD-OVER-TRS-WHT-8","30.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","10","Color","White","FOLD-OVER-TRS-WHT-10","30.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","12","Color","White","FOLD-OVER-TRS-WHT-12","30.00"
"the-lace-fitted-trousers-white","The fold over lace trousers - white","Size","14","Color","White","FOLD-OVER-TRS-WHT-14","30.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","4","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-4","26.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","6","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-6","26.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","8","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-8","26.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","10","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-10","26.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","12","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-12","26.00"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","Size","14","Color","Beige","FOLDOVER-RUFFLE-SRT-BEG-14","26.00"
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe","Size","XS (4-6)","Color","Taupe","HIGH-NECK-GEN-TAU-XS","28.00"
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe","Size","S (6-8)","Color","Taupe","HIGH-NECK-GEN-TAU-S","28.00"
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe","Size","M (8-10)","Color","Taupe","HIGH-NECK-GEN-TAU-M","28.00"
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe","Size","L (10-12)","Color","Taupe","HIGH-NECK-GEN-TAU-L","28.00"
"the-high-neck-bodysuit-taupe","The high neck bodysuit - taupe","Size","XL (12-14)","Color","Taupe","HIGH-NECK-GEN-TAU-XL","28.00"
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush","Size","XS (4-6)","Color","Blush","HIGH-NECK-GEN-BLU-XS","28.00"
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush","Size","S (6-8)","Color","Blush","HIGH-NECK-GEN-BLU-S","28.00"
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush","Size","M (8-10)","Color","Blush","HIGH-NECK-GEN-BLU-M","28.00"
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush","Size","L (10-12)","Color","Blush","HIGH-NECK-GEN-BLU-L","28.00"
"the-high-neck-bodysuit-blush","The high neck bodysuit - blush","Size","XL (12-14)","Color","Blush","HIGH-NECK-GEN-BLU-XL","28.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","4","Color","White","HIGH-NECK-TOP-WHT-4","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","6","Color","White","HIGH-NECK-TOP-WHT-6","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","8","Color","White","HIGH-NECK-TOP-WHT-8","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","10","Color","White","HIGH-NECK-TOP-WHT-10","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","12","Color","White","HIGH-NECK-TOP-WHT-12","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","14","Color","White","HIGH-NECK-TOP-WHT-14","24.00"
"the-high-neck-crop-top-white","The high neck crop top - white","Size","16","Color","White","HIGH-NECK-TOP-WHT-16","24.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","4","Color","Stone","HIGH-NECK-TOP-XXX-4","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","6","Color","Stone","HIGH-NECK-TOP-XXX-6","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","8","Color","Stone","HIGH-NECK-TOP-XXX-8","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","10","Color","Stone","HIGH-NECK-TOP-XXX-10","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","12","Color","Stone","HIGH-NECK-TOP-XXX-12","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","14","Color","Stone","HIGH-NECK-TOP-XXX-14","25.00"
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","Size","16","Color","Stone","HIGH-NECK-TOP-XXX-16","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","4","Color","Black","HIGH-NECK-TOP-BLK-4","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","6","Color","Black","HIGH-NECK-TOP-BLK-6","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","8","Color","Black","HIGH-NECK-TOP-BLK-8","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","10","Color","Black","HIGH-NECK-TOP-BLK-10","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","12","Color","Black","HIGH-NECK-TOP-BLK-12","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","14","Color","Black","HIGH-NECK-TOP-BLK-14","25.00"
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","Size","16","Color","Black","HIGH-NECK-TOP-BLK-16","25.00"
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","Size","4","Color","Khaki","HIGH-NECK-TOP-KHA-4","25.00"
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","Size","6","Color","Khaki","HIGH-NECK-TOP-KHA-6","25.00"
