"Handle","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service"
"the-burnout-cowl-top-powder-blue","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12",1,"shopify","deny","manual"
"the-burnout-cowl-top-powder-blue","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12",1,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10",14,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12",3,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14",3,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10",14,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12",3,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14",3,"shopify","deny","manual"
"the-cowl-maxi-yellow-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14-1",1,"shopify","deny","manual"
"the-cowl-maxi-yellow-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14-1",1,"shopify","deny","manual"
