"Handle","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","4","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-4",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","6","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-6",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","8","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-8",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","10","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-10",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","12","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-12",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","4","Color","Khaki","BEADED-BIK-KHA-4",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","6","Color","Khaki","BEADED-BIK-KHA-6",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","8","Color","Khaki","BEADED-BIK-KHA-8",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","10","Color","Khaki","BEADED-BIK-KHA-10",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","12","Color","Khaki","BEADED-BIK-KHA-12",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","14","Color","Khaki","BEADED-BIK-KHA-14",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","4","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-4",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","6","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-6",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","8","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-8",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","10","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-10",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","12","Color","Khaki","BEADED-BOTTOMS-BIK-KHA-12",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-bottoms-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","4","Color","Khaki","BEADED-BIK-KHA-4",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","6","Color","Khaki","BEADED-BIK-KHA-6",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","8","Color","Khaki","BEADED-BIK-KHA-8",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","10","Color","Khaki","BEADED-BIK-KHA-10",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","12","Color","Khaki","BEADED-BIK-KHA-12",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","14","Color","Khaki","BEADED-BIK-KHA-14",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-beaded-bikini-top-khaki","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amore-set-taupe","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-top-corset-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","L (10-12)","Color","Black","AMARA-TRS-BLK-L",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
"the-amara-lace-lace-trouser-black","Size","","Color","","",0,"shopify","deny","manual"
