"Handle","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service"
"the-burnout-cowl-top-powder-blue","Size","12","Color","Blue","BURNOUT-COWL-TOP-BLU-12",1,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","10","Color","Floral","COWL-MAXI-GEN-FLO-10",14,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","12","Color","Floral","COWL-MAXI-GEN-FLO-12",3,"shopify","deny","manual"
"the-cowl-maxi-blue-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14",3,"shopify","deny","manual"
"the-cowl-maxi-yellow-floral","Size","14","Color","Floral","COWL-MAXI-GEN-FLO-14-1",1,"shopify","deny","manual"
"the-crochet-foldover-shorts-black-white","Size","6","Color","White","CROCHET-FOLDOVER-SRT-WHT-6",14,"shopify","deny","manual"
"the-crochet-foldover-shorts-black-white","Size","8","Color","White","CROCHET-FOLDOVER-SRT-WHT-8",10,"shopify","deny","manual"
"the-crochet-foldover-shorts-black-white","Size","14","Color","White","CROCHET-FOLDOVER-SRT-WHT-14",4,"shopify","deny","manual"
"the-crochet-foldover-shorts-black-white","Size","16","Color","White","CROCHET-FOLDOVER-SRT-WHT-16",4,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","4","Color","Blush","CROCHET-TAN-BIK-BLU-4",19,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","6","Color","Blush","CROCHET-TAN-BIK-BLU-6",30,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","8","Color","Blush","CROCHET-TAN-BIK-BLU-8",25,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","10","Color","Blush","CROCHET-TAN-BIK-BLU-10",18,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","12","Color","Blush","CROCHET-TAN-BIK-BLU-12",10,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-cherry-blush","Size","14","Color","Blush","CROCHET-TAN-BIK-BLU-14",10,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","Size","12","Color","Sorbet","CROCHET-TAN-BIK-SOR-12-1",1,"shopify","deny","manual"
"the-crochet-tan-bikini-bottoms-strawberry-sorbet","Size","14","Color","Sorbet","CROCHET-TAN-BIK-SOR-14-1",4,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","4","Color","Blush","CROCHET-TAN-BIK-BLU-4-1",19,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","6","Color","Blush","CROCHET-TAN-BIK-BLU-6-1",29,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","8","Color","Blush","CROCHET-TAN-BIK-BLU-8-1",28,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","10","Color","Blush","CROCHET-TAN-BIK-BLU-10-1",19,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","12","Color","Blush","CROCHET-TAN-BIK-BLU-12-1",9,"shopify","deny","manual"
"the-crochet-tan-bikini-top-cherry-blush","Size","14","Color","Blush","CROCHET-TAN-BIK-BLU-14-1",5,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","Size","6","Color","Sorbet","CROCHET-WIDE-BIK-SOR-6",5,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","Size","8","Color","Sorbet","CROCHET-WIDE-BIK-SOR-8",2,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","Size","14","Color","Sorbet","CROCHET-WIDE-BIK-SOR-14",5,"shopify","deny","manual"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","Size","4","Color","Melt","CROCHET-WIDE-BIK-MEL-4",13,"shopify","deny","manual"
