"Handle","Title","Body (HTML)","Vendor","Type","Product Category","Tags","Collection","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Inventory Qty","Variant Grams","Variant Image","Image Src","Metafield: custom.product_type_standard [single_line_text_field]","Metafield: custom.product_type_detail [single_line_text_field]","Metafield: custom.style [single_line_text_field]","Metafield: custom.material [single_line_text_field]","Metafield: custom.fit_type [single_line_text_field]","Metafield: custom.colour_family [single_line_text_field]"
"the-amara-lace-lace-top-corset","The amara lace lace top & corset","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p> <ul> <li>Premium lace fabric</li> <li>High neck silhouette</li> <li>Discreet zip closure at the back for seamless finish</li> <li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li> <li>Removable sculpting corset</li> <li>Corset designed to layer over the lace top<br> </li> <li>Styled with our matching Amara lace trousers</li> </ul> <p>Mary is 5’4 and wears size XS</p>","Koko Bay","Top","Apparel & Accessories > Clothing > Clothing Tops","Dresses, Solstice, Top","CLOTHING","TRUE","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","TOPS","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","CO ORDS","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","DRESSES","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","ALL NEW IN","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","Best Selling Products","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","Newest Products","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","SOLSTICE","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","Newest Products (Copy)","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","PARTY SEASON","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","VALENTINES","","Size","XS (4-6)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XS46","35.00","shopify","deny","manual","16","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","Size","S (6-8)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-S68","35.00","shopify","deny","manual","15","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","Size","M (8-10)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-M810","35.00","shopify","deny","manual","1","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","Size","L (10-12)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-L1012","35.00","shopify","deny","manual","1","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","Size","XL (12-14)","Color","Black","THEAMARALACELACETOPCORSET-BLACK-XL1214","35.00","shopify","deny","manual","3","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_e7586812-92b7-4863-b40d-62005e8a6cea.jpg?v=1770325256","","Top","Top","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_136243a7-c5dc-4e58-a617-63a145c622a3.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0602.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0588.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_44ca880f-7303-438c-98ea-b4ca8f99d64d.jpg?v=1770325256","","","","","",""
"the-amara-lace-lace-top-corset","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_dd74610b-055c-46c3-b1aa-bf2a60d0906d.jpg?v=1765887871","","","","","",""
"the-amara-lace-lace-trouser","The amara lace trouser","<p>Meet Solstice — a premium collection made for seamless day-to-night style. Designed for crisp evenings and cooler nights, featuring premium pieces designed to build your party-season wardrobe. Effortlessly sophisticated and perfect for the season, this collection is made for your most memorable moments.</p> <ul> <li>Premium lace fabric</li> <li>Fold over waist detail for adjustable coverage and styling</li> <li>Discreet zip closure at the back for seamless finish</li> <li><span style=""font-size: 0.875rem;"">Designed to sculpt and flatter</span></li> <li>Statement side tassel<br> </li> <li>Styled with our matching Amara lace top &amp; corset</li> </ul> <p>Mary is 5’4 and wears size XS</p>","Koko Bay","Trouser","Apparel & Accessories > Clothing > Pants","Dresses, Solstice, Trouser","CLOTHING","TRUE","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","DRESSES","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","ALL NEW IN","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","Best Selling Products","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","Newest Products","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","SOLSTICE","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","Newest Products (Copy)","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","PARTY SEASON","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","VALENTINES","","Size","XS (4-6)","Color","Black","THEAMARALACELACETROUSER-BLACK-XS46","30.00","shopify","deny","manual","17","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","Size","S (6-8)","Color","Black","THEAMARALACELACETROUSER-BLACK-S68","30.00","shopify","deny","manual","15","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","Size","M (8-10)","Color","Black","THEAMARALACELACETROUSER-BLACK-M810","30.00","shopify","deny","manual","1","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","Size","L (10-12)","Color","Black","THEAMARALACELACETROUSER-BLACK-L1012","30.00","shopify","deny","manual","0","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","Size","XL (12-14)","Color","Black","THEAMARALACELACETROUSER-BLACK-XL1214","30.00","shopify","deny","manual","4","0","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0560_e740d293-91cd-4bc9-972d-91fa00eb4939.jpg?v=1765887795","","Trouser","Trouser","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0581_ea852bc4-875a-4c5f-9510-7def4d06d1a7.jpg?v=1765887796","","","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0582_2a80083e-8880-471f-9b52-5fd777102ffe.jpg?v=1765887796","","","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0586_3375fa29-0c9e-4d2d-a4fd-51502e100ea5.jpg?v=1765887796","","","","","",""
"the-amara-lace-lace-trouser","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0064/3828/9461/files/251104_KKB_0604_b10d5534-0526-437d-b7df-5b39eead5064.jpg?v=1765887816","","","","","",""
