"Handle","Title","Size","Variant SKU","Variant ID"
"the-amara-lace-lace-trouser-black","The amara lace trouser - black","L (10-12)","AMARA-TRS-BLK-L",56094011097474
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","4","BEADED-BOTTOMS-BIK-KHA-4",55101929128322
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","6","BEADED-BOTTOMS-BIK-KHA-6",55101929161090
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","8","BEADED-BOTTOMS-BIK-KHA-8",55101929193858
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","10","BEADED-BOTTOMS-BIK-KHA-10",55101929226626
"the-beaded-bikini-bottoms-khaki","The beaded bikini bottoms - khaki","12","BEADED-BOTTOMS-BIK-KHA-12",55101929259394
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","4","BEADED-BIK-KHA-4",55101940990338
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","6","BEADED-BIK-KHA-6",55101941023106
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","8","BEADED-BIK-KHA-8",55101941055874
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","10","BEADED-BIK-KHA-10",55101941088642
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","12","BEADED-BIK-KHA-12",55101941121410
"the-beaded-bikini-top-khaki","The beaded bikini top - khaki","14","BEADED-BIK-KHA-14",55101941154178
"the-burnout-cowl-top-powder-blue","The burnout cowl top - powder blue","12","BURNOUT-COWL-TOP-BLU-12",55486754161026
"the-cove-mini-grey-knit","The cove knit mini - cloud","4","COVE-KNIT-GEN-KNI-4",56015650980226
"the-cove-mini-grey-knit","The cove knit mini - cloud","6","COVE-KNIT-GEN-KNI-6",55993154666882
"the-cove-mini-grey-knit","The cove knit mini - cloud","8","COVE-KNIT-GEN-KNI-8",55993154699650
"the-cove-mini-grey-knit","The cove knit mini - cloud","10","COVE-KNIT-GEN-KNI-10",55993154732418
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","4","COWL-MAXI-GEN-FLO-4",56604623929730
